mnx	miriam
bigg	bigg.reaction
kegg	kegg.reaction
metacyc	metacyc.reaction
reactome	reactome
rhea	rhea
sabiork	sabiork.reaction
seed	seed.reaction
deprecated	metanetx.reaction
