mnx	miriam
biggM	bigg.metabolite
envipathM	envipath
hmdb	hmdb
keggC	kegg.compound
keggD	kegg.drug
keggE	kegg.environ
keggG	kegg.glycan
lipidmapsM	lipidmaps
metacycM	metacyc.compound
mnx	metanetx.chemical
reactomeM	reactome
rheaG	rhea.generic
rheaP	rhea.polymer
sabiorkM	sabiork.compound
seedM	seed.compound
